URL,Name,fiber_g,sodium_g,carbohydrates_g,fat_g,protein_g,sugar_g,saturate_g,size_g,Servings,calories_kCal,category,image_link,fat_100g,fiber_100g,sugar_100g,saturated_100g,protien_100g,sodium_100mg,carbohydrates_100g,kj_100g,Nutri_score,Fsa_new,salt_100g,salt_g,fat_count,satfat_count,sugar_count,salt_count,NumberRatings
http://allrecipes.com/recipe/lime-chicken-soft-tacos/detail.aspx,Lime Chicken Soft Tacos,1.4,0.43,18.9,6.8,16.2,1.7,2.1,1327.94,10,204,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/49/21/492161.jpg,5.120713285,1.0542645,1.280178321,1.58139675,,323.8098107,14.23257075,643.1820715,A,7,0.822476919,1.0922,2,2,1,2,542
http://allrecipes.com/recipe/seven-layer-tortilla-pie/detail.aspx,Seven Layer Tortilla Pie,8.1,1.33,54.8,11.7,21.1,3.5,5.3,2324.75,6,405,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/07/09/70927.jpg,3.019679535,2.090547371,0.903322938,1.36788902,,343.2627164,14.14345629,437.6351866,A,7,0.8718873,3.3782,2,1,1,3,158
http://allrecipes.com/recipe/fried-rice-restaurant-style/detail.aspx,Fried Rice Restaurant Style,1.4,0.38,39.7,8.4,5.8,1.3,1.5,1685.36,8,261,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/57/05/570591.jpg,3.987278682,0.664546447,0.617078844,0.71201405,,180.3768928,18.84463853,518.7045142,B,6,0.458157308,0.9652,2,1,1,2,302
http://allrecipes.com/recipe/kickin-london-broil-with-bleu-cheese-butter/detail.aspx,Kickin' London Broil with Bleu Cheese Butter,0.3,0.42,1.2,15.8,19.4,0.2,6.4,1004.96,6,227,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/01/01/76/1017600.jpg,9.433211272,0.179111606,0.119407738,3.821047604,,250.756249,0.716446426,567.4277185,B,8,0.636920872,1.0668,2,3,1,2,75
http://allrecipes.com/recipe/sesame-shrimp-stir-fry/detail.aspx,Sesame Shrimp Stir-Fry,3.1,0.89,50.5,9.3,24.2,3.4,1.5,1764.63,4,395,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/63/76/637679.jpg,2.108090648,0.702696883,0.770699807,0.340014621,,201.7420082,11.44715889,374.8742796,A,6,0.512424701,2.2606,1,1,1,3,82
http://allrecipes.com/recipe/easy-slow-cooker-meatballs/detail.aspx,Easy Slow Cooker Meatballs,2.8,0.5,18.2,7.2,10.6,6.2,2.4,2638.7,16,179,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/04/98/49808.jpg,4.365786183,1.697805738,3.759426991,1.455262061,,303.179596,11.03573729,454.4281351,A,6,0.770076174,1.27,2,1,1,2,121
http://allrecipes.com/recipe/easy-red-beans-and-rice/detail.aspx,Easy Red Beans and Rice,7.8,0.81,42.4,5.7,16.3,3.7,1.6,2628.8,8,289,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/01/72/62/1726242.jpg,1.734631771,2.373706634,1.125989044,0.486914181,,246.5003043,12.90322581,368.2243457,A,6,0.626110773,2.0574,1,1,1,3,89
http://allrecipes.com/recipe/baked-teriyaki-chicken/detail.aspx,Baked Teriyaki Chicken,0.2,1.28,19.9,9.8,24.7,17.1,2.7,1142.96,6,272,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/20/68/206814.jpg,5.144536992,0.104990551,8.976692098,1.417372436,,671.9395254,10.44655981,597.8212361,C,8,1.706726395,3.2512,2,1,2,3,1217
http://allrecipes.com/recipe/chicken-piccata-ii/detail.aspx,Chicken Piccata II,0.3,0.54,7.6,15.4,25.9,0.7,8.4,784.82,4,276,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/10/70/107004.jpg,7.848933513,0.152901302,0.356769705,4.281236462,,275.222344,3.873499656,588.9537983,C,8,0.699064754,1.3716,2,3,1,2,317
http://allrecipes.com/recipe/grilled-brown-sugar-pork-chops/detail.aspx,Grilled Brown Sugar Pork Chops,0.1,0.18,21.5,13.7,13.3,20.1,3,1107.23,6,262,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/00/37/46/374685.jpg,7.423931794,0.054189283,10.89204592,1.625678495,,97.5407097,11.65069588,594.4247898,B,7,0.247753403,0.4572,2,2,2,1,219
http://allrecipes.com/recipe/baked-paprika-parmesan-chicken/detail.aspx,Baked Paprika-Parmesan Chicken,0.7,0.68,7.7,18.6,42.5,0.7,10.5,818.31,4,375,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/62/74/627491.jpg,9.091908934,0.342168616,0.342168616,5.132529237,,332.3923696,3.763854774,767.4597646,C,8,0.844276619,1.7272,2,3,1,2,90
http://allrecipes.com/recipe/szechwan-shrimp/detail.aspx,Szechwan Shrimp,0.4,0.5,6.7,4.4,18.3,3.5,0.8,507.64,4,142,Seafood Pasta and Noodles,http://images.media-allrecipes.com/userphotos/350x350/00/18/31/183145.jpg,3.467023875,0.315183989,2.757859901,0.630367977,,393.9799858,5.27933181,468.4623749,B,6,1.000709164,1.27,2,1,1,2,610
http://allrecipes.com/recipe/fast-and-friendly-meatballs/detail.aspx,Fast and Friendly Meatballs,0.3,0.22,4.6,13.5,18.5,0.4,3.1,683.8,6,218,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/40/78/407873.jpg,11.84556888,0.263234864,0.350979819,2.720093595,,193.0389003,4.036267915,800.8678561,B,7,0.490318807,0.5588,2,2,1,2,269
http://allrecipes.com/recipe/baked-pork-chops-i/detail.aspx,Baked Pork Chops I,1.5,1.14,36,19.9,29.9,3.4,3.9,1490.33,6,457,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/49/77/497753.jpg,8.011648427,0.603893098,1.368824354,1.570122054,,458.9587541,14.49343434,770.3129911,C,8,1.165755235,2.8956,2,2,1,3,1129
http://allrecipes.com/recipe/easiest-pot-roast-ever/detail.aspx,Easiest Pot Roast Ever,6.2,0.55,42.4,25.3,31.7,4.5,10,3159.1,6,526,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/38/93/389391.jpg,4.805166028,1.177550568,0.854673799,1.89927511,,104.460131,8.052926466,418.2691526,A,8,0.265328733,1.397,3,3,1,1,98
http://allrecipes.com/recipe/tasty-lentil-tacos/detail.aspx,Tasty Lentil Tacos,9.2,0.71,44.2,10,9.4,3.2,1.9,1010.8,6,304,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/22/60/226040.jpg,5.935892362,5.461020973,1.899485556,1.127819549,,421.4483577,26.23664424,755.512782,A,7,1.070478829,1.8034,2,1,1,3,204
http://allrecipes.com/recipe/chicken-satay/detail.aspx,Chicken Satay,0.7,0.69,4.1,3,28.8,1.8,0.7,1735.39,12,162,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/00/18/40/184086.jpg,2.074461648,0.484041051,1.244676989,0.484041051,,477.1261791,2.835097586,469.0092256,B,5,1.211900495,1.7526,1,1,1,2,148
http://allrecipes.com/recipe/zesty-slow-cooker-chicken-barbecue/detail.aspx,Zesty Slow Cooker Chicken Barbecue,0.3,1.06,32.4,8.1,23,25.7,1.5,1250.5,6,300,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/10/17/101715.jpg,3.886445422,0.143942423,12.33106757,0.719712115,,508.5965614,15.54578169,602.6581367,C,8,1.291835266,2.6924,2,1,2,3,1094
http://allrecipes.com/recipe/juiciest-hamburgers-ever/detail.aspx,Juiciest Hamburgers Ever,0.5,0.2,9.1,17.8,21.5,1.7,7,1129.85,8,288,Barbecue,http://images.media-allrecipes.com/userphotos/350x350/00/24/87/248754.jpg,12.60344293,0.354029296,1.203699606,4.956410143,,141.6117184,6.443333186,853.7759172,B,8,0.359693765,0.508,2,3,1,2,216
http://allrecipes.com/recipe/slow-cooker-buffalo-chicken-sandwiches/detail.aspx,Slow Cooker Buffalo Chicken Sandwiches,3.6,2.9,80.6,14,31.3,4.9,4.3,1802.4,6,578,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/80/51/805101.jpg,4.66045273,1.19840213,1.631158455,1.431424767,,965.379494,26.83089214,805.5826897,D,7,2.452063915,7.366,2,1,1,3,501
http://allrecipes.com/recipe/simply-parmesan-chicken/detail.aspx,Simply Parmesan Chicken,0.7,0.27,8.6,6.7,30.3,0.8,2.6,737,5,224,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/62/12/621277.jpg,4.545454545,0.474898236,0.542740841,1.763907734,,183.1750339,5.834464043,636.2572592,A,7,0.465264586,0.6858,2,2,1,2,106
http://allrecipes.com/recipe/maries-easy-slow-cooker-pot-roast/detail.aspx,Marie's Easy Slow Cooker Pot Roast,2.8,0.27,18.2,30.6,45.7,2.4,12.1,3030.5,8,540,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/01/05/06/1050626.jpg,8.077874938,0.739151955,0.633558819,3.194192377,,71.2753671,4.804487708,596.831414,A,8,0.181039432,0.6858,3,3,1,1,408
http://allrecipes.com/recipe/beer-batter-fish-made-great/detail.aspx,Beer Batter Fish Made Great,1.6,0.68,22.6,30.2,18.8,1.4,4.5,3246.35,8,447,Seafood Pasta and Noodles,http://images.media-allrecipes.com/userphotos/350x350/00/04/34/43490.jpg,7.442204322,0.394288971,0.345002849,1.10893773,,167.5728125,5.569331711,461.1947818,A,7,0.425634944,1.7272,3,1,1,2,135
http://allrecipes.com/recipe/easy-baked-tilapia/detail.aspx,Easy Baked Tilapia,2.7,0.35,7.3,3.6,24.8,0,1.6,1023.75,4,172,Seafood Pasta and Noodles,http://images.media-allrecipes.com/userphotos/350x350/00/77/55/775557.jpg,1.406593407,1.054945055,0,0.625152625,,136.7521368,2.852258852,281.3693187,A,5,0.347350427,0.889,1,1,1,2,231
http://allrecipes.com/recipe/paprika-chicken-with-mushrooms/detail.aspx,Paprika Chicken with Mushrooms,1.8,0.24,6.8,14.4,27,3.2,8,1097.03,4,259,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/50/39/503970.jpg,5.250540095,0.656317512,1.166786688,2.916966719,,87.50900158,2.479421711,395.3879839,A,7,0.222272864,0.6096,2,3,1,1,101
http://allrecipes.com/recipe/creamed-chipped-beef-on-toast/detail.aspx,Creamed Chipped Beef On Toast,0.1,1.64,8.8,8.7,20.9,5.8,5.3,634.23,4,197,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/02/00/24/2002445.jpg,5.48696845,0.063068603,3.657978967,3.342635952,,1034.325087,5.550037053,520.1895842,D,8,2.627185721,4.1656,2,2,1,3,120
http://allrecipes.com/recipe/addictive-sweet-potato-burritos/detail.aspx,Addictive Sweet Potato Burritos,13.4,1.03,76.6,8.5,20,5.1,4.2,4133.34,12,505,Fruits and Vegetables,http://images.media-allrecipes.com/userphotos/350x350/00/56/03/560382.jpg,2.467737955,3.890316306,1.480642773,1.219352872,,299.0317758,22.23867381,613.8379132,A,6,0.75954071,2.6162,1,1,1,3,475
http://allrecipes.com/recipe/pollo-fajitas/detail.aspx,Pollo Fajitas,1.5,0.34,5.7,8.3,27.6,2,1.8,1032.33,5,210,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/53/67/536742.jpg,4.020032354,0.726511871,0.968682495,0.871814245,,164.6760241,2.760745111,425.8463863,A,6,0.418277101,0.8636,2,1,1,2,259
http://allrecipes.com/recipe/sarges-ez-pulled-pork-bbq/detail.aspx,Sarge's EZ Pulled Pork BBQ,0,0.2,0,18.8,23.4,0,7,2724.25,10,270,Meat and Poultry,http://images.media-allrecipes.com/userphotos/350x350/00/01/98/19881.jpg,6.900981922,0,0,2.569514545,,73.41470129,0,414.9531064,A,7,0.186473341,0.508,2,3,1,1,248
