person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
128,b25_35,US,BA,"Diabetes, Kosher, Lactose intolerance, Pescatarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Healthy,Female,Grilled Marinated Shrimp,128,85
129,b25_35,US,BA,Vegetarian,"Eat less sugar,Eat more fruit,Eat more vegetables",High,Very_Healthy,Male,California Grilled Veggie Sandwich,129,37
130,b25_35,US,BA,"Kosher, Lactose intolerance","Eat less sugar,Eat more fruit",High,Healthy,Male,G's Flank Steak Marinade,130,75
131,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables,Gain weight",Medium,Neither_healthy_no_unhealthy,Female,Charley's Slow Cooker Mexican Style Meat,131,39
132,b25_35,US,BA,"Diabetes, Gluten free","Eat less sugar,Eat more fruit",High,Healthy,Male,Grilled Sausage with Potatoes and Green Beans,132,90
133,b25_35,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Sloppy Joes II,133,152
134,b25_35,US,BA,Vegetarian,Eat more vegetables,Medium,Very_Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,134,142
135,b25_35,US,BA,"Halal, Kosher, Lactose intolerance","Eat more protein,Eat more vegetables",Medium,Healthy,Male,Champagne Shrimp and Pasta,135,38
136,b45_55,US,MSc,Vegetarian,No goals,High,Healthy,Male,Italian Subs - Restaurant Style,136,98
137,b25_35,US,MSc,Vegetarian,Eat more fruit,High,Very_Healthy,Male,Queenie's Killer Tomato Bagel Sandwich,137,125
138,b45_55,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables,Gain weight",Medium,Neither_healthy_no_unhealthy,Female,Chicken Asparagus Roll-Ups,138,41
139,b25_35,US,BA,No dietary restrictions,Eat more protein,High,Very_Healthy,Male,Kickin' London Broil with Bleu Cheese Butter,139,103
140,b35_45,US,BA,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Bacon Jack Chicken Sandwich,140,11
141,b35_45,US,MSc,"Diabetes, Vegetarian","Eat less sugar,Eat more protein",High,Healthy,Female,Simple Carnitas,141,149
142,b35_45,US,High_school,No dietary restrictions,"Eat less salt,Eat less sugar,Gain weight",Low,Healthy,Male,Simple Carnitas,142,149
143,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat,143,39
144,b45_55,US,BA,Diabetes,No goals,High,Very_Healthy,Female,Queenie's Killer Tomato Bagel Sandwich,144,125
145,b25_35,US,BA,Vegetarian,Eat less sugar,High,Healthy,Female,Queenie's Killer Tomato Bagel Sandwich,145,125
146,b25_35,US,BA,Vegetarian,Eat more fruit,Medium,Very_Healthy,Female,Pico de Gallo Chicken Quesadillas,146,119
147,bover_55,US,BA,No dietary restrictions,Lose weight,Medium,Healthy,Female,Slow Cooker Cilantro Lime Chicken,147,154
148,b25_35,US,BA,"Halal, Kosher, Vegetarian","Eat less sugar,Eat more fruit,Eat more protein",High,Healthy,Female,Soul Smothered Chicken,148,158
149,b35_45,US,BA,Pescatarian,Eat more fruit,High,Healthy,Female,Marinated Grilled Shrimp,149,112
150,b18_24,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Gain weight",Medium,Neither_healthy_no_unhealthy,Male,Grilled Tilapia with Mango Salsa,150,91
151,b45_55,US,MSc,Vegetarian,No goals,High,Very_Healthy,Female,Firecracker Grilled Alaska Salmon,151,72
152,b45_55,US,High_school,No dietary restrictions,No goals,High,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich,152,125
153,b25_35,US,MSc,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Italian Sausage' Peppers' and Onions,153,97
154,b25_35,US,BA,No dietary restrictions,No goals,High,Neither_healthy_no_unhealthy,Male,Linguine Pasta with Shrimp and Tomatoes,154,107
155,b45_55,US,High_school,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Female,Stuffed Shells III,155,171
156,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Male,Best Tuna Melt (New Jersey Diner Style),156,23
157,bover_55,US,High_school,Vegetarian,No goals,Medium,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich,157,125
158,bover_55,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Female,Spinach Quiche,158,164
159,b25_35,US,MSc,Diabetes,Eat more vegetables,High,Healthy,Male,Sausage' Peppers' Onions' and Potato Bake,159,142
1018,b25_35,US,High_school,No Dietary Restrictions,No goals,Medium,Healthy,Female,Farmer's Market Vegetarian Quesadillas,1018,70
1019,b25_35,US,High_school,"Lactose intolerance, Other",Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Linguine Pasta with Shrimp and Tomatoes,1019,107
1020,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",Very_Low,Unhealthy,Male,Three Cheese Manicotti II,1020,180
1021,bover_55,US,High_school,Diabetes,"Eat less sugar,Lose weight",High,Unhealthy,Female,Ray's Chicken,1021,128
1022,b35_45,US,BA,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter,1022,103
1023,b45_55,US,High_school,No Dietary Restrictions,Lose weight,High,Healthy,Female,Cajun Chicken Pasta,1023,36
1024,bover_55,US,BA,Lactose intolerance,"Eat more protein,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Female,Bow Ties with Sausage' Tomatoes and Cream,1024,28
1025,b35_45,US,High_school,"Gluten-free, Vegetarian",Lose weight,Very High,Very_Healthy,Male,Pizza On The Grill I,1025,120
1026,b25_35,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Simple Carnitas,1026,149
1027,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Roast Sticky Chicken-Rotisserie Style,1027,133
1028,b35_45,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Dijon-Tarragon Cream Chicken,1028,66
1031,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,High,Healthy,refuse_to_disc,Marinated Grilled Shrimp,1031,112
1032,b25_35,US,BA,Halal,"Eat less sugar,Eat more protein,Eat more vegetables",Very_Low,Neither_healthy_no_unhealthy,Male,Filet Mignon with Rich Balsamic Glaze,1032,71
1035,b25_35,US,MSc,Vegetarian,Eat more vegetables,Medium,Very_Healthy,Male,Simple Carnitas,1035,149
1037,b35_45,US,High_school,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Grilled Flat Iron Steak with Blue Cheese-Chive Butter,1037,84
1038,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Chicken and Bacon Shish Kabobs,1038,52
1040,b25_35,US,BA,No Dietary Restrictions,No goals,High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs,1040,52
1041,b35_45,US,High_school,"Gluten-free, Lactose intolerance, Vegetarian","Eat more fruit,Eat more vegetables,Lose weight",High,Healthy,Female,Spinach and Feta Pita Bake,1041,166
1042,b35_45,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Asian Beef Skewers,1042,3
1044,b45_55,US,BA,Vegetarian,Eat more fruit,Medium,Healthy,Female,Coconut Shrimp I,1044,60
1045,b25_35,US,BA,Vegetarian,Eat less sugar,Low,Neither_healthy_no_unhealthy,Male,California Grilled Veggie Sandwich,1045,37
