person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,user_id,recipe_id
2026,b25_35,US,MSc,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",High,Very_Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,2026,142
2027,b45_55,US,MSc,No dietary restrictions,"Eat less sugar,Eat more protein",High,Healthy,Male,Lamb Chops with Balsamic Reduction,2027,105
2031,b45_55,US,High_school,Diabetes,Eat less sugar,Medium,Neither_healthy_no_unhealthy,Female,Sensational Sirloin Kabobs,2031,144
2043,b25_35,US,BA,Vegetarian,No goals,Low,Healthy,Female,California Grilled Veggie Sandwich,2043,37
2044,b25_35,US,MSc,No dietary restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",High,Very_Healthy,Female,Chicken Marsala Florentine,2044,47
2045,b35_45,US,BA,Vegetarian,Eat more vegetables,Medium,Healthy,Female,Spinach and Feta Pita Bake,2045,166
2046,b25_35,US,BA,Lactose intolerance,"Eat more fruit,Eat more vegetables",High,Healthy,Female,Quick Chicken Piccata,2046,126
2047,b25_35,US,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Lamb Chops with Balsamic Reduction,2047,105
2048,b45_55,US,MSc,"Lactose intolerance, Pescatarian, Vegetarian",Eat less sugar,Medium,Healthy,Male,Chicken Scarpariello,2048,50
2049,bover_55,US,MSc,Allergies,No goals,Very High,Healthy,Female,Foolproof Rib Roast,2049,74
2050,b35_45,US,MSc,"No dietary restrictions, Diabetes, Gluten free, Halal, Kosher, Lactose intolerance, Pescatarian, Vegetarian, Allergies","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Healthy,Female,Pico de Gallo Chicken Quesadillas,2050,119
2051,b35_45,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Authentic Louisiana Red Beans and Rice,2051,5
2053,b35_45,US,BA,No dietary restrictions,No goals,High,Healthy,Female,Spinach and Feta Turkey Burgers,2053,167
2054,b25_35,US,BA,No dietary restrictions,No goals,High,Healthy,Female,Kathy's Roast and Vegetables,2054,102
2055,b18_24,US,BA,Gluten free,Eat less sugar,Medium,Healthy,Male,Simple Carnitas,2055,149
2056,b25_35,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more protein,Lose weight",Very High,Unhealthy,Female,Garlic Prime Rib,2056,78
2057,b35_45,US,High_school,No dietary restrictions,No goals,Very_Low,Very_unhealthy,Male,Easy Chicken Enchiladas,2057,67
2058,b25_35,US,High_school,No dietary restrictions,"Eat less sugar,Lose weight",Low,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ,2058,141
2060,b25_35,US,BA,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Pork Chops Stuffed with Smoked Gouda and Bacon,2060,123
2061,b35_45,US,MSc,"No dietary restrictions, Vegetarian",No goals,Medium,Very_Healthy,Female,Spinach and Feta Pita Bake,2061,166
2062,b25_35,US,BA,No dietary restrictions,Eat less salt,Very High,Very_Healthy,Male,Marinated Grilled Shrimp,2062,112
2063,b25_35,US,BA,No dietary restrictions,No goals,Medium,Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,2063,142
2064,b35_45,US,BA,No dietary restrictions,Eat less salt,Medium,Healthy,Male,Baked Ziti IV,2064,17
2065,bover_55,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",Low,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich,2065,125
2066,b35_45,US,BA,Allergies,Lose weight,High,Healthy,Female,Chicken Scarpariello,2066,50
2067,b45_55,US,BA,Lactose intolerance,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Female,Foolproof Rib Roast,2067,74
2068,b25_35,US,BA,No dietary restrictions,Eat less sugar,High,Healthy,Female,Simple BBQ Ribs,2068,148
2069,b45_55,US,High_school,No dietary restrictions,No goals,Very High,Healthy,Male,Breakfast Sausage,2069,31
2070,b35_45,US,High_school,No dietary restrictions,No goals,Medium,Unhealthy,Male,Pork Chops Stuffed with Smoked Gouda and Bacon,2070,123
2071,b25_35,US,BA,No dietary restrictions,No goals,Low,Unhealthy,Female,Crispy Fried Chicken,2071,61
2072,bover_55,US,MSc,Diabetes,"Eat more fruit,Eat more protein,Eat more vegetables",Very High,Healthy,Female,Marinated Grilled Shrimp,2072,112
2075,b25_35,US,High_school,No dietary restrictions,Eat less sugar,Medium,Neither_healthy_no_unhealthy,Male,Coconut Shrimp I,2075,60
2076,bover_55,US,High_school,No dietary restrictions,No goals,High,Healthy,Female,Baked Halibut Steaks,2076,13
2077,b25_35,US,BA,Lactose intolerance,Lose weight,High,Healthy,Male,Rosemary Chicken with Orange-Maple Glaze,2077,135
2078,b25_35,US,BA,No dietary restrictions,No goals,High,Healthy,Male,Roasted Rack of Lamb,2078,134
2080,b25_35,US,MSc,Vegetarian,Eat less sugar,High,Healthy,Male,Coconut Shrimp I,2080,60
2081,b35_45,US,BA,Gluten free,Lose weight,Low,Neither_healthy_no_unhealthy,Female,Boiled Chicken,2081,27
2082,b45_55,US,MSc,Vegetarian,Eat less salt,Medium,Healthy,Male,Tomato Chicken Parmesan,2082,183
2083,b45_55,US,MSc,"Vegetarian, Allergies","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Farmer's Market Vegetarian Quesadillas,2083,70
2084,b25_35,US,MSc,No dietary restrictions,Eat more protein,High,Healthy,Male,Garlic Prime Rib,2084,78
2085,b25_35,US,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,BBQ NY Strip,2085,8
2086,b45_55,US,MSc,No dietary restrictions,No goals,Low,Healthy,Male,Teena's Spicy Pesto Chicken and Pasta,2086,178
2087,b35_45,US,BA,Lactose intolerance,"Eat less sugar,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Female,Mom's Favorite Baked Mac and Cheese,2087,115
2088,b25_35,US,High_school,No dietary restrictions,Lose weight,Very High,Healthy,Female,Linda's Lasagna,2088,106
2089,b35_45,US,MSc,Vegetarian,"Eat less salt,Eat more fruit,Eat more vegetables,Lose weight",High,Very_Healthy,Male,Authentic Louisiana Red Beans and Rice,2089,5
2090,b25_35,US,BA,No dietary restrictions,No goals,Medium,Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,2090,142
2091,bover_55,US,BA,"Diabetes, Allergies","Eat more protein,Eat more vegetables,Gain weight",High,Very_Healthy,Female,Simple Carnitas,2091,149
2092,b25_35,US,High_school,No dietary restrictions,"Eat less sugar,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Female,Kickin' London Broil with Bleu Cheese Butter,2092,103
2093,bover_55,US,BA,"Halal, Pescatarian","Eat less sugar,Eat more fruit",Very High,Very_Healthy,Male,Souvlaki,2093,159
2094,bover_55,US,Doctorate,No dietary restrictions,"Eat less salt,Eat less sugar,Lose weight",Medium,Healthy,Female,Barbequed Ribs,2094,18
2095,b35_45,US,Doctorate,No dietary restrictions,"Eat more vegetables,Lose weight",High,Healthy,Female,Grilled Tilapia with Mango Salsa,2095,91
2096,b35_45,US,MSc,Vegetarian,Eat less salt,Medium,Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,2096,142
2097,b45_55,US,MSc,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",High,Healthy,Male,California Grilled Veggie Sandwich,2097,37
2098,b25_35,US,MSc,No dietary restrictions,No goals,High,Very_Healthy,Female,Spinach and Feta Turkey Burgers,2098,167
2099,b35_45,US,Doctorate,No dietary restrictions,No goals,Medium,Very_Healthy,Male,Spinach and Feta Turkey Burgers,2099,167
2100,b35_45,US,BA,Diabetes,"Eat less salt,Eat less sugar,Eat more protein,Gain weight",High,Healthy,Female,Sarge's EZ Pulled Pork BBQ,2100,141
2101,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pico de Gallo Chicken Quesadillas,2101,119
2102,b25_35,US,BA,No dietary restrictions,"Eat less sugar,Lose weight",Very High,Healthy,Female,Whit's Chicken Enchiladas,2102,185
2103,b35_45,US,BA,Diabetes,"Eat less sugar,Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Female,Simple Carnitas,2103,149
2104,b45_55,US,BA,Diabetes,"Eat less sugar,Eat more fruit,Eat more vegetables",High,Neither_healthy_no_unhealthy,Female,Simple Carnitas,2104,149
2105,b25_35,US,BA,No dietary restrictions,Lose weight,Medium,Healthy,Female,Farmer's Market Vegetarian Quesadillas,2105,70
2106,bover_55,US,High_school,No dietary restrictions,"Eat less sugar,Eat more fruit",Medium,Neither_healthy_no_unhealthy,Female,Maple Salmon,2106,110
2107,b35_45,US,BA,No dietary restrictions,"Eat less salt,Eat more protein,Eat more vegetables,Lose weight",High,Healthy,Male,Lamb Chops with Balsamic Reduction,2107,105
2108,b45_55,US,BA,No dietary restrictions,"Eat less sugar,Eat more fruit,Eat more vegetables,Lose weight",Medium,Healthy,Male,Spinach and Feta Turkey Burgers,2108,167
2109,b35_45,US,BA,Gluten free,Lose weight,Very_Low,Unhealthy,Female,Sarge's EZ Pulled Pork BBQ,2109,141
2110,b45_55,US,MSc,Vegetarian,"Eat less salt,Eat less sugar",High,Healthy,Female,Grilled Marinated Shrimp,2110,85
2111,b45_55,US,MSc,Vegetarian,Eat less sugar,High,Very_Healthy,Male,Pico de Gallo Chicken Quesadillas,2111,119
2112,b25_35,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar",Medium,Healthy,Female,Simple Country Ribs,2112,150
2113,bover_55,US,BA,No dietary restrictions,Lose weight,High,Healthy,Female,Grilled Roasted Red Pepper and Ham Sandwich,2113,87
2114,b25_35,US,BA,No dietary restrictions,"Eat more protein,Eat more vegetables,Gain weight",Low,Neither_healthy_no_unhealthy,Male,Best Beef Dip Ever,2114,22
2115,b18_24,US,BA,No dietary restrictions,Gain weight,Medium,Neither_healthy_no_unhealthy,Male,G's Flank Steak Marinade,2115,75
2118,b25_35,US,MSc,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Pizza On The Grill I,2118,120
2119,b25_35,US,BA,No dietary restrictions,Eat less sugar,Very High,Very_Healthy,Male,California Grilled Veggie Sandwich,2119,37
2120,b18_24,US,High_school,No dietary restrictions,Eat less sugar,Low,Healthy,Male,Crustless Spinach Quiche,2120,62
2121,b25_35,US,BA,No dietary restrictions,Eat less sugar,High,Very_Healthy,Male,Grilled Tilapia with Mango Salsa,2121,91
2122,b35_45,US,BA,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables,Lose weight",High,Healthy,Male,Chipotle Crusted Pork Tenderloin,2122,55
2123,b45_55,US,BA,No dietary restrictions,"Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Pita Bake,2123,166
2124,bover_55,US,MSc,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit",High,Healthy,Female,Lamb Chops with Balsamic Reduction,2124,105
2125,b45_55,US,BA,Vegetarian,"Eat less salt,Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Female,California Grilled Veggie Sandwich,2125,37
2126,bover_55,US,MSc,No dietary restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Sausage' Peppers' Onions' and Potato Bake,2126,142
2127,b25_35,US,BA,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Farmer's Market Vegetarian Quesadillas,2127,70
2128,b45_55,US,BA,No dietary restrictions,"Eat less salt,Eat more fruit",Medium,Healthy,Male,Sarge's EZ Pulled Pork BBQ,2128,141
2129,b25_35,US,MSc,Halal,Eat less salt,Medium,Healthy,Male,Baked Halibut Steaks,2129,13
2130,b45_55,US,BA,Vegetarian,"Eat more protein,Eat more vegetables",High,Healthy,Male,Garden Veggie Pizza Squares,2130,76
2131,b45_55,US,BA,No dietary restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Farmer's Market Vegetarian Quesadillas,2131,70
2132,b25_35,US,High_school,Diabetes,Eat less sugar,High,Healthy,Male,Coconut Shrimp I,2132,60
3267,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Italian Sausage' Peppers' and Onions,3267,97
3266,bover_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I,3266,120
3265,b18_24,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Simple Country Ribs,3265,150
3264,bover_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spicy Grilled Shrimp,3264,161
3263,bover_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pork Chops with Fresh Tomato' Onion' Garlic' and Feta,3263,124
3262,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta,3262,178
3261,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Sweet' Sticky and Spicy Chicken,3261,172
3260,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Barbequed Ribs,3260,18
3259,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Easy Herb Roasted Turkey,3259,69
3258,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Tex-Mex Burger with Cajun Mayo,3258,179
3257,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cajun Chicken Pasta,3257,36
3256,bover_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Smothered Filet Mignon,3256,157
3249,bover_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chicken Souvlaki Gyro Style,3249,51
3248,b25_35,GB,Doctorate,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chipotle Crusted Pork Tenderloin,3248,55
3245,b45_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Marinated Grilled Shrimp,3245,112
3237,b35_45,GB,Doctorate,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Juicy Lucy Burgers,3237,100
3233,b45_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Garlic Prime Rib,3233,78
3218,b35_45,GB,Doctorate,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,G's Flank Steak Marinade,3218,75
3210,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spicy Grilled Shrimp,3210,161
3200,bover_55,GB,Less_high_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Beer Butt Chicken,3200,21
3198,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spinach Tomato Tortellini,3198,165
3194,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Lamb Chops with Balsamic Reduction,3194,105
3193,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cajun Chicken Pasta,3193,36
3191,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Coconut Shrimp I,3191,60
3189,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ,3189,141
3188,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Italian Sausage' Peppers' and Onions,3188,97
3187,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Salmon with Lemon and Dill,3187,140
3186,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Shoyu Chicken,3186,146
3185,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Garden Veggie Pizza Squares,3185,76
3184,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Best Beef Dip Ever,3184,22
3183,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Bow Ties with Sausage' Tomatoes and Cream,3183,28
3182,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,3182,143
3181,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ,3181,141
3180,b18_24,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Herb Roasted Pork,3180,93
3179,bover_55,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Zippy Summer Shrimp,3179,188
3177,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta,3177,178
3176,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Linguine Pasta with Shrimp and Tomatoes,3176,107
3172,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pizza On The Grill I,3172,120
3171,b18_24,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Herb Roasted Pork,3171,93
3170,bover_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Oven Fried Parmesan Chicken,3170,116
3169,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Souvlaki,3169,159
3168,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Best Tuna Melt (New Jersey Diner Style),3168,23
3167,b35_45,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cajun Chicken Pasta,3167,36
3166,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Cajun Chicken Pasta,3166,36
3165,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,California Grilled Veggie Sandwich,3165,37
3164,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Marinated Grilled Shrimp,3164,112
3163,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Souvlaki,3163,159
3162,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Bacon Jack Chicken Sandwich,3162,11
3161,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Easy Chicken Satay,3161,68
3160,b35_45,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I,3160,120
3159,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Gerry's Chicken Enchiladas,3159,80
3158,bover_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cajun Chicken Pasta,3158,36
3157,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Peppered Shrimp Alfredo,3157,118
3156,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pico de Gallo Chicken Quesadillas,3156,119
3155,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Shrimp and Mushroom Linguini with Creamy Cheese Herb Sauce,3155,147
3153,b18_24,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spinach Cheese Manicotti,3153,163
3152,b35_45,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Bacon Jack Chicken Sandwich,3152,11
3151,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Yakisoba Chicken,3151,187
3150,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Simple BBQ Ribs,3150,148
3149,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Barbequed Ribs,3149,18
3148,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pork Chops Stuffed with Smoked Gouda and Bacon,3148,123
5139,b25_35,GB,Doctorate,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Pita Bake,5139,166
5140,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Breaded Chicken Fingers,5140,30
5141,b45_55,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Souvlaki,5141,159
5142,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pico de Gallo Chicken Quesadillas,5142,119
5143,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Garlic Chicken Fried Chicken,5143,77
5144,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Linguine Pasta with Shrimp and Tomatoes,5144,107
5145,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chicken and Bacon Shish Kabobs,5145,52
5146,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,G's Flank Steak Marinade,5146,75
5147,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Turkey Burgers,5147,167
5148,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Spinach and Feta Turkey Burgers,5148,167
5149,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Sarge's EZ Pulled Pork BBQ,5149,141
5150,b45_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cajun Chicken Pasta,5150,36
5151,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chicken Souvlaki Gyro Style,5151,51
5152,b35_45,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cindy's Jambalaya,5152,57
5153,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta,5153,178
5154,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Grilled Salmon I,5154,88
5155,bover_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Boiled Chicken,5155,27
5156,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Farmer's Market Vegetarian Quesadillas,5156,70
5157,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Whit's Chicken Enchiladas,5157,185
5158,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,California Grilled Veggie Sandwich,5158,37
5159,bover_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Honey Glazed Ham,5159,95
5160,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Sarge's EZ Pulled Pork BBQ,5160,141
5161,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Sloppy Joes II,5161,152
5162,b35_45,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Asian Beef Skewers,5162,3
5163,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pork Chops Stuffed with Smoked Gouda and Bacon,5163,123
5164,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Greek Chicken Pasta,5164,83
5165,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Pita Bake,5165,166
5166,bover_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chipotle Crusted Pork Tenderloin,5166,55
5167,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Marinated Grilled Shrimp,5167,112
5168,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta,5168,178
5169,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spicy Chipotle Turkey Burgers,5169,160
5170,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Barbequed Ribs,5170,18
5171,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chipotle Crusted Pork Tenderloin,5171,55
5172,b18_24,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Cajun Chicken Pasta,5172,36
5173,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Spinach and Feta Turkey Burgers,5173,167
5174,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chipotle Shrimp Tacos,5174,56
5175,b35_45,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Tex-Mex Burger with Cajun Mayo,5175,179
5176,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,5176,143
5177,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chicken Quesadillas,5177,49
5178,b45_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Sausage' Peppers' Onions' and Potato Bake,5178,142
5179,b35_45,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Chicken Katsu,5179,45
5180,b25_35,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Quick and Easy Mexican Chicken,5180,127
5181,b45_55,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Gourmet Mushroom Risotto,5181,82
5182,b18_24,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Linguine Pasta with Shrimp and Tomatoes,5182,107
5183,b25_35,GB,MSc,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Peppered Shrimp Alfredo,5183,118
5184,b45_55,GB,High_school,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Grilled Pork Tenderloin,5184,86
5185,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,BBQ Pork for Sandwiches,5185,9
5186,b25_35,GB,BA,No dietary restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Teena's Spicy Pesto Chicken and Pasta,5186,178
