person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,category,recipe_name,healthiness,Nutri_score,fsa_score,SValue_Nor,Slabel,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition
62,b45_55,US,BA,['Vegetarian'],"['Eat less salt', 'Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables', 'Lose weight']",Very High,Healthy,Male,Meat and Poultry,Souvlaki,healthy,A,6,0.197794748,Medium,Agree,Strongly_Agree,Agree,Agree,Neutral,Strongly_Agree,No label
63,b35_45,US,BA,['No dietary restrictions'],"['Eat less sugar', 'Eat more vegetables']",High,Healthy,Female,Fruits and Vegetables,Jalapeno Chicken II,unhealthy,C,10,0.252882203,Medium,Agree,Agree,Agree,Disagree,Agree,Strongly_Disagree,No label
65,b35_45,US,BA,"['Gluten free', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Fruits and Vegetables,Farmer's Market Vegetarian Quesadillas,healthy,A,7,0.196658802,Medium,Strongly_Agree,Agree,Strongly_Agree,Disagree,Strongly_Agree,Strongly_Agree,No label
66,b45_55,US,BA,['Vegetarian'],['Eat less sugar'],High,Healthy,Female,Fruits and Vegetables,Garden Veggie Pizza Squares,healthy,D,8,0.132723793,High,Agree,Neutral,Agree,Neutral,Strongly_Agree,Agree,No label
67,b45_55,US,MSc,"['No dietary restrictions', ' Gluten free', ' Kosher']","['Eat less sugar', 'Eat more protein']",Medium,Healthy,Female,Meat and Poultry,Kickin' London Broil with Bleu Cheese Butter,healthy,B,8,0.690292356,Low,Neutral,Agree,Neutral,Agree,Agree,Strongly_Agree,No label
69,b45_55,US,MSc,"['Lactose intolerance', ' Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Female,Fruits and Vegetables,Cajun Chicken Pasta,unhealthy,C,10,0.511236999,Low,Agree,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,No label
72,b45_55,US,BA,"['Gluten free', ' Halal', ' Kosher', ' Vegetarian']","['Eat less sugar', 'Eat more fruit', 'Eat more protein']",High,Healthy,Female,Meat and Poultry,Italian Subs - Restaurant Style,unhealthy,D,10,0.35244794,Medium,Agree,Strongly_Agree,Neutral,Agree,Strongly_Agree,Strongly_Agree,No label
73,b25_35,US,BA,['Vegetarian'],"['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Fruits and Vegetables,Grilled Sausage with Potatoes and Green Beans,unhealthy,D,10,0.287695638,Medium,Agree,Agree,Agree,Neutral,Agree,Neutral,No label
75,b45_55,US,MSc,['Lactose intolerance'],['Eat more fruit'],Medium,Neither_healthy_no_unhealthy,Female,Meat and Poultry,Baked Teriyaki Chicken,healthy,C,8,0.097205404,High,Agree,Neutral,Agree,Neutral,Agree,Neutral,No label
76,b45_55,US,MSc,"['Pescatarian', ' Vegetarian']","['Eat more fruit', 'Eat more protein', 'Eat more vegetables']",High,Very_Healthy,Male,Meat and Poultry,Juicy Lucy Burgers,unhealthy,D,10,0.391753512,Low,Agree,Strongly_Agree,Agree,Agree,Agree,Strongly_Agree,No label
