person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name,healthiness,Nutri_score,fsa_score,recommend_recipe,become_favorite,enjoy_eating,many_to_choose,easy_choice,choice_overwhelming,condition,num_nutri,str_condition
1026,b25_35,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Simple Carnitas,healthy,D,8,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,2,4,MTL
1027,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Roast Sticky Chicken-Rotisserie Style,unhealthy,B,10,Agree,Neutral,Agree,Neutral,Agree,Disagree,2,2,MTL
1028,b35_45,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Dijon-Tarragon Cream Chicken,healthy,C,8,Neutral,Disagree,Strongly_Agree,Agree,Disagree,Strongly_Disagree,2,3,MTL
1031,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,High,Healthy,refuse_to_disc,Marinated Grilled Shrimp,healthy,A,6,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,1,MTL
1032,b25_35,US,BA,Halal,"Eat less sugar,Eat more protein,Eat more vegetables",Very_Low,Neither_healthy_no_unhealthy,Male,Filet Mignon with Rich Balsamic Glaze,healthy,C,8,Agree,Disagree,Agree,Disagree,Strongly_Agree,Disagree,2,3,MTL
1035,b25_35,US,MSc,Vegetarian,Eat more vegetables,Medium,Very_Healthy,Male,Simple Carnitas,healthy,D,8,Strongly_Agree,Strongly_Agree,Agree,Neutral,Neutral,Agree,2,4,MTL
1037,b35_45,US,High_school,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Grilled Flat Iron Steak with Blue Cheese-Chive Butter,unhealthy,C,9,Neutral,Neutral,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,2,3,MTL
1038,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Chicken and Bacon Shish Kabobs,healthy,B,8,Agree,Agree,Agree,Strongly_Disagree,Strongly_Agree,Strongly_Disagree,2,2,MTL
1040,b25_35,US,BA,No Dietary Restrictions,No goals,High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs,healthy,B,8,Agree,Agree,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,2,2,MTL
1041,b35_45,US,High_school,"Gluten-free, Lactose intolerance, Vegetarian","Eat more fruit,Eat more vegetables,Lose weight",High,Healthy,Female,Spinach and Feta Pita Bake,healthy,A,7,Agree,Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,1,MTL
1042,b35_45,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Asian Beef Skewers,healthy,C,7,Agree,Agree,Agree,Disagree,Agree,Disagree,2,3,MTL
1044,b45_55,US,BA,Vegetarian,Eat more fruit,Medium,Healthy,Female,Coconut Shrimp I,healthy,A,7,Agree,Strongly_Agree,Agree,Agree,Strongly_Agree,Agree,2,1,MTL
1045,b25_35,US,BA,Vegetarian,Eat less sugar,Low,Neither_healthy_no_unhealthy,Male,California Grilled Veggie Sandwich,healthy,B,8,Agree,Neutral,Agree,Disagree,Strongly_Agree,Strongly_Disagree,2,2,MTL
1055,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Three Cheese Manicotti II,unhealthy,C,11,Agree,Agree,Agree,Strongly_Disagree,Agree,Strongly_Disagree,2,3,MTL
1056,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,unhealthy,B,12,Agree,Strongly_Agree,Agree,Strongly_Agree,Strongly_Disagree,Neutral,2,2,MTL
1057,b45_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",High,Healthy,Female,Linguine Pasta with Shrimp and Tomatoes,healthy,A,5,Agree,Neutral,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,1,MTL
1066,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit",Medium,Very_Healthy,Male,Baked Ziti I,unhealthy,C,10,Agree,Neutral,Strongly_Agree,Neutral,Strongly_Agree,Agree,2,3,MTL
1067,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",High,Healthy,Male,Coconut Shrimp I,healthy,A,7,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,Agree,Agree,2,1,MTL
1068,b45_55,US,BA,Lactose intolerance,No goals,High,Neither_healthy_no_unhealthy,Female,Stuffed Shells I,unhealthy,C,9,Neutral,Agree,Agree,Disagree,Agree,Disagree,2,3,MTL
1069,b35_45,US,BA,No Dietary Restrictions,No goals,High,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta,healthy,A,7,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Strongly_Disagree,Agree,2,1,MTL
1070,b35_45,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Female,Pizza On The Grill I,healthy,C,7,Strongly_Agree,Strongly_Agree,Strongly_Agree,Agree,Disagree,Disagree,2,3,MTL
1071,b25_35,US,MSc,"Gluten-free, Halal, Kosher","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein",Very High,Very_Healthy,Male,Chipotle Shrimp Tacos,healthy,A,7,Agree,Neutral,Strongly_Agree,Agree,Disagree,Strongly_Agree,2,1,MTL
1073,bover_55,US,MSc,Diabetes,No goals,High,Healthy,Male,Honey Glazed Ham,unhealthy,E,12,Strongly_Agree,Agree,Agree,Disagree,Neutral,Agree,2,5,MTL
1074,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter,healthy,B,8,Agree,Strongly_Agree,Agree,Disagree,Strongly_Agree,Disagree,2,2,MTL
1076,bover_55,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Baked Ziti I,unhealthy,C,10,Agree,Agree,Agree,Disagree,Agree,Disagree,2,3,MTL
1077,b35_45,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Stuffed Shells III,unhealthy,C,10,Agree,Strongly_Agree,Strongly_Agree,Disagree,Agree,Strongly_Disagree,2,3,MTL
1078,b25_35,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I,healthy,C,7,Strongly_Agree,Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Neutral,2,3,MTL
1082,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Neither_healthy_no_unhealthy,Male,Souvlaki,healthy,A,6,Agree,Agree,Agree,Disagree,Strongly_Agree,Strongly_Disagree,2,1,MTL
1084,b35_45,US,High_school,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Kickin' London Broil with Bleu Cheese Butter,healthy,B,8,Agree,Strongly_Agree,Strongly_Agree,Neutral,Agree,Disagree,2,2,MTL
1087,b25_35,US,BA,"Diabetes, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",Medium,Healthy,Male,Italian Subs - Restaurant Style,unhealthy,D,10,Strongly_Agree,Strongly_Agree,Strongly_Agree,Strongly_Disagree,Strongly_Agree,Strongly_Agree,2,4,MTL
1088,b25_35,US,BA,No Dietary Restrictions,No goals,Very High,Very_Healthy,Male,Baked Halibut Steaks,healthy,A,5,Agree,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,Agree,2,1,MTL
1091,b45_55,US,BA,Halal,Eat less salt,High,Healthy,Male,Coconut Shrimp I,healthy,A,7,Agree,Strongly_Agree,Strongly_Agree,Agree,Strongly_Agree,Agree,2,1,MTL
1100,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Crustless Spinach Quiche,unhealthy,D,9,Agree,Agree,Strongly_Agree,Disagree,Agree,Disagree,2,4,MTL
